Value,yy,mm
2.014015417,1894,3
1.504833876,1894,4
1.546799387,1894,5
2.645308368,1894,6
3.048012709,1894,7
2.491928538,1894,8
1.76567833,1894,9
2.420504882,1894,10
2.295595771,1894,11
2.058614059,1894,12
2.158837575,1895,1
1.55782562,1895,2
1.329237009,1895,3
1.980936719,1895,4
1.813403814,1895,5
2.369323415,1895,6
2.065690596,1895,7
2.236679484,1895,8
1.917412455,1895,9
2.929686424,1895,10
2.296747766,1895,11
2.847894818,1895,12
1.896018272,1896,1
0.664371649,1896,2
1.130271113,1896,3
1.579219802,1896,4
0.927849234,1896,5
1.743790436,1896,6
1.84335567,1896,7
1.570662129,1896,8
1.430777091,1896,9
2.185168876,1896,10
1.389963573,1896,11
0.908923611,1896,12
0.554932177,1897,1
0.689386385,1897,2
0.46211434,1897,3
1.012932251,1897,4
1.81998664,1897,5
2.243591451,1897,6
2.116542922,1897,7
2.676741359,1897,8
2.931825842,1897,9
1.909019352,1897,10
2.203107075,1897,11
2.432518539,1897,12
1.500061327,1898,1
2.346612668,1898,2
1.023793913,1898,3
1.042061253,1898,4
2.391869592,1898,5
1.975505889,1898,6
2.351714357,1898,7
2.400920977,1898,8
2.423138013,1898,9
2.397135852,1898,10
1.801390158,1898,11
2.728416538,1898,12
1.885814893,1899,1
1.439005622,1899,2
0.8697558,1899,3
0.968333609,1899,4
2.04330899,1899,5
2.093832174,1899,6
1.589423182,1899,7
1.524417781,1899,8
1.305867979,1899,9
2.254617684,1899,10
1.168122359,1899,11
1.845001376,1899,12
1.208606735,1900,1
1.166147511,1900,2
-0.169507753,1900,3
0.619279295,1900,4
0.993019205,1900,5
1.588600328,1900,6
2.420504882,1900,7
2.706364073,1900,8
1.87199096,1900,9
1.572801548,1900,10
2.178915192,1900,11
1.164008093,1900,12
1.159893827,1901,1
1.254851083,1901,2
1.558977614,1901,3
1.414484598,1901,4
1.88499204,1901,5
2.44831732,1901,6
1.850267636,1901,7
1.813732955,1901,8
2.13958281,1901,9
2.885910635,1901,10
3.329922205,1901,11
1.342073519,1901,12
3.035011629,1902,1
-0.163089498,1902,2
1.129612831,1902,3
0.327660132,1902,4
1.742473871,1902,5
0.893947683,1902,6
1.321995902,1902,7
2.017800541,1902,8
1.5708267,1902,9
0.536500266,1902,10
0.426896224,1902,11
1.544330828,1902,12
0.992031781,1903,1
-0.374891904,1903,2
0.890162558,1903,3
1.680759883,1903,4
2.769723767,1903,5
2.085768213,1903,6
3.136057998,1903,7
2.64563751,1903,8
2.151925608,1903,9
2.937585814,1903,10
2.694514988,1903,11
3.515887021,1903,12
3.071875451,1904,1
1.509277283,1904,2
1.24366028,1904,3
1.332363852,1904,4
2.181383751,1904,5
2.026193644,1904,6
2.17331979,1904,7
2.1032127,1904,8
1.85652132,1904,9
2.2718976,1904,10
1.246457981,1904,11
1.507631577,1904,12
0.799154998,1905,1
0.293594011,1905,2
-0.242906256,1905,3
0.720654806,1905,4
1.87989035,1905,5
1.258142496,1905,6
1.274599559,1905,7
1.742638442,1905,8
1.935515225,1905,9
2.005293173,1905,10
1.195605655,1905,11
1.102787817,1905,12
1.366594543,1906,1
1.508289859,1906,2
0.983638678,1906,3
1.184414852,1906,4
1.538735426,1906,5
2.511512443,1906,6
2.696983547,1906,7
1.666277668,1906,8
3.003907779,1906,9
2.702249808,1906,10
2.05647464,1906,11
2.516284991,1906,12
0.963890202,1907,1
1.683557584,1907,2
0.874034636,1907,3
2.158179292,1907,4
2.429062555,1907,5
2.964081686,1907,6
1.989988104,1907,7
2.496207374,1907,8
2.189776854,1907,9
2.37310854,1907,10
2.519082692,1907,11
2.432189397,1907,12
1.136524797,1908,1
2.351878928,1908,2
1.457766674,1908,3
2.532742055,1908,4
2.629015875,1908,5
2.209360759,1908,6
2.336080147,1908,7
2.25626339,1908,8
2.607786264,1908,9
2.373273111,1908,10
3.059038942,1908,11
2.712124046,1908,12
1.196263937,1909,1
1.825088329,1909,2
1.15034873,1909,3
1.632869829,1909,4
2.436139093,1909,5
2.409643221,1909,6
2.291316935,1909,7
3.210773066,1909,8
2.748987868,1909,9
3.197113703,1909,10
2.784699695,1909,11
2.214297878,1909,12
2.928699,1910,1
2.656992883,1910,2
2.022079378,1910,3
2.144026218,1910,4
2.483535435,1910,5
3.436234834,1910,6
3.344898133,1910,7
3.225584423,1910,8
3.036821906,1910,9
2.878175815,1910,10
2.883771217,1910,11
3.125854619,1910,12
1.492655649,1911,1
0.477583979,1911,2
